"Destination","Year","Total","Latitude","Longitude","code"
"Austria",2003,2359,47.516231,14.550072,"AUT"
"Belgium",2003,329,50.503887,4.469936,"BEL"
"Bulgaria",2003,525,42.733883,25.48583,"BGR"
"Canada",2003,121,56.130366,-106.346771,"CAN"
"Cyprus",2003,52,35.126413,33.429859,"CYP"
"Czech Republic",2003,50,49.817492,15.472962,"CZE"
"Denmark",2003,653,56.26392,9.501785,"DNK"
"Finland",2003,51,61.92411,25.748151,"FIN"
"France",2003,346,46.227638,2.213749,"FRA"
"Germany",2003,1467,51.165691,10.451526,"DEU"
"Greece",2003,593,39.074208,21.824312,"GRC"
"Hungary",2003,469,47.162494,19.503304,"HUN"
"Iceland",2003,3,64.963051,-19.020835,"ISL"
"Ireland",2003,24,53.41291,-8.24389,"IRL"
"Japan",2003,3,36.204824,138.252924,"JPN"
"Luxembourg",2003,2,49.815273,6.129583,"LUX"
"Netherlands",2003,492,52.132633,5.291266,"NLD"
"New Zealand",2003,4,-40.900557,174.885971,"NZL"
"Norway",2003,2050,60.472024,8.468946,"NOR"
"Poland",2003,251,51.919438,19.145136,"POL"
"Romania",2003,16,45.943161,24.96676,"ROU"
"Serbia",2003,26,44.016521,21.005859,"SRB"
"Slovakia",2003,629,48.669026,19.699024,"SVK"
"Slovenia",2003,2,46.151241,14.995463,"SVN"
"Spain",2003,10,40.463667,-3.74922,"ESP"
"Sweden",2003,811,60.128161,18.643501,"SWE"
"Switzerland",2003,190,46.818188,8.227512,"CHE"
"Turkey",2003,101,38.963745,35.243322,"TUR"
"United Kingdom",2003,2591,55.378051,-3.435973,"GBR"
"United States",2003,57,37.09024,-95.712891,"USA"
"Australia",2004,112,-25.274398,133.775136,"AUS"
"Austria",2004,757,47.516231,14.550072,"AUT"
"Belgium",2004,287,50.503887,4.469936,"BEL"
"Bulgaria",2004,426,42.733883,25.48583,"BGR"
"Canada",2004,128,56.130366,-106.346771,"CAN"
"Cyprus",2004,80,35.126413,33.429859,"CYP"
"Czech Republic",2004,15,49.817492,15.472962,"CZE"
"Denmark",2004,285,56.26392,9.501785,"DNK"
"Finland",2004,164,61.92411,25.748151,"FIN"
"France",2004,164,46.227638,2.213749,"FRA"
"Germany",2004,912,51.165691,10.451526,"DEU"
"Greece",2004,382,39.074208,21.824312,"GRC"
"Hungary",2004,38,47.162494,19.503304,"HUN"
"Iceland",2004,2,64.963051,-19.020835,"ISL"
"Ireland",2004,106,53.41291,-8.24389,"IRL"
"Lithuania",2004,8,55.169438,23.881275,"LTU"
"Luxembourg",2004,6,49.815273,6.129583,"LUX"
"Netherlands",2004,689,52.132633,5.291266,"NLD"
"Norway",2004,1059,60.472024,8.468946,"NOR"
"Poland",2004,57,51.919438,19.145136,"POL"
"Romania",2004,1,45.943161,24.96676,"ROU"
"Slovakia",2004,396,48.669026,19.699024,"SVK"
"Slovenia",2004,4,46.151241,14.995463,"SVN"
"South Korea",2004,1,35.907757,127.766922,"KOR"
"Spain",2004,14,40.463667,-3.74922,"ESP"
"Sweden",2004,903,60.128161,18.643501,"SWE"
"Switzerland",2004,206,46.818188,8.227512,"CHE"
"Turkey",2004,353,38.963745,35.243322,"TUR"
"United Kingdom",2004,1605,55.378051,-3.435973,"GBR"
"United States",2004,39,37.09024,-95.712891,"USA"
"Australia",2005,29,-25.274398,133.775136,"AUS"
"Austria",2005,928,47.516231,14.550072,"AUT"
"Belgium",2005,253,50.503887,4.469936,"BEL"
"Bulgaria",2005,385,42.733883,25.48583,"BGR"
"Canada",2005,238,56.130366,-106.346771,"CAN"
"Cyprus",2005,53,35.126413,33.429859,"CYP"
"Czech Republic",2005,2,49.817492,15.472962,"CZE"
"Denmark",2005,173,56.26392,9.501785,"DNK"
"Finland",2005,237,61.92411,25.748151,"FIN"
"France",2005,135,46.227638,2.213749,"FRA"
"Germany",2005,685,51.165691,10.451526,"DEU"
"Greece",2005,458,39.074208,21.824312,"GRC"
"Hungary",2005,23,47.162494,19.503304,"HUN"
"Iceland",2005,6,64.963051,-19.020835,"ISL"
"Ireland",2005,142,53.41291,-8.24389,"IRL"
"Japan",2005,2,36.204824,138.252924,"JPN"
"Liechtenstein",2005,1,47.166,9.555373,"LIE"
"Lithuania",2005,2,55.169438,23.881275,"LTU"
"Luxembourg",2005,3,49.815273,6.129583,"LUX"
"Malta",2005,1,35.937496,14.375416,"MLT"
"Netherlands",2005,902,52.132633,5.291266,"NLD"
"New Zealand",2005,1,-40.900557,174.885971,"NZL"
"Norway",2005,466,60.472024,8.468946,"NOR"
"Poland",2005,3,51.919438,19.145136,"POL"
"Slovakia",2005,109,48.669026,19.699024,"SVK"
"Slovenia",2005,4,46.151241,14.995463,"SVN"
"Spain",2005,10,40.463667,-3.74922,"ESP"
"Sweden",2005,435,60.128161,18.643501,"SWE"
"Switzerland",2005,241,46.818188,8.227512,"CHE"
"Turkey",2005,359,38.963745,35.243322,"TUR"
"United Kingdom",2005,1773,55.378051,-3.435973,"GBR"
"United States",2005,47,37.09024,-95.712891,"USA"
"Australia",2006,22,-25.274398,133.775136,"AUS"
"Austria",2006,699,47.516231,14.550072,"AUT"
"Belgium",2006,365,50.503887,4.469936,"BEL"
"Bulgaria",2006,277,42.733883,25.48583,"BGR"
"Canada",2006,229,56.130366,-106.346771,"CAN"
"Cyprus",2006,9,35.126413,33.429859,"CYP"
