Destination,Year,Total,Latitude,Longitude,code
Greece,2015,1544,21.824312,39.074208,GRC
Hungary,2015,45560,19.503304,47.162494,HUN
Iceland,2015,22,-19.020835,64.963051,ISL
Ireland,2015,124,-8.24389,53.41291,IRL
Italy,2015,3986,12.56738,41.87194,ITA
Japan,2015,13,138.252924,36.204824,JPN
Latvia,2015,34,24.603189,56.879635,LVA
Liechtenstein,2015,8,9.555373,47.166,LIE
Lithuania,2015,31,23.881275,55.169438,LTU
Luxembourg,2015,215,6.129583,49.815273,LUX
Macedonia [FYROM],2015,358,21.745275,41.608635,MKD
Montenegro,2015,4,19.37439,42.708678,MNE
Netherlands,2015,2550,5.291266,52.132633,NLD
New Zealand,2015,12,174.885971,-40.900557,NZL
Norway,2015,6916,8.468946,60.472024,NOR
Poland,2015,15,19.145136,51.919438,POL
Portugal,2015,4,-8.224454,39.399872,PRT
Romania,2015,96,24.96676,45.943161,ROU
Serbia,2015,40,21.005859,44.016521,SRB
Slovakia,2015,27,19.699024,48.669026,SVK
Slovenia,2015,47,14.995463,46.151241,SVN
South Korea,2015,14,127.766922,35.907757,KOR
Spain,2015,38,-3.74922,40.463667,ESP
Sweden,2015,41281,18.643501,60.128161,SWE
Switzerland,2015,7800,8.227512,46.818188,CHE
Turkey,2015,63292,35.243322,38.963745,TUR
United Kingdom,2015,2852,-3.435973,55.378051,GBR
United States,2015,319,-95.712891,37.09024,USA
Albania,2016,64,20.168331,41.153332,ALB
Australia,2016,2562,133.775136,-25.274398,AUS
Austria,2016,11506,14.550072,47.516231,AUT
Belgium,2016,2227,4.469936,50.503887,BEL
Bosnia and Herzegovina,2016,0,17.679076,43.915886,BIH
Bulgaria,2016,8613,25.48583,42.733883,BGR
Canada,2016,638,-106.346771,56.130366,CAN
Croatia,2016,588,15.2,45.1,HRV
Cyprus,2016,0,33.429859,35.126413,CYP
Czech Republic,2016,28,15.472962,49.817492,CZE
Denmark,2016,1122,9.501785,56.26392,DNK
Finland,2016,697,25.748151,61.92411,FIN
France,2016,5466,2.213749,46.227638,FRA
Germany,2016,127011,10.451526,51.165691,DEU
Greece,2016,524,21.824312,39.074208,GRC
Hungary,2016,10772,19.503304,47.162494,HUN
Iceland,2016,7,-19.020835,64.963051,ISL
Ireland,2016,117,-8.24389,53.41291,IRL
Italy,2016,2843,12.56738,41.87194,ITA
Japan,2016,0,138.252924,36.204824,JPN
Latvia,2016,35,24.603189,56.879635,LVA
Liechtenstein,2016,0,9.555373,47.166,LIE
Lithuania,2016,25,23.881275,55.169438,LTU
Luxembourg,2016,41,6.129583,49.815273,LUX
Macedonia [FYROM],2016,163,21.745275,41.608635,MKD
Malta,2016,6,14.375416,35.937496,MLT
Montenegro,2016,50,19.37439,42.708678,MNE
Netherlands,2016,1045,5.291266,52.132633,NLD
New Zealand,2016,0,174.885971,-40.900557,NZL
Norway,2016,373,8.468946,60.472024,NOR
Poland,2016,0,19.145136,51.919438,POL
Portugal,2016,10,-8.224454,39.399872,PRT
Romania,2016,39,24.96676,45.943161,ROU
Serbia,2016,405,21.005859,44.016521,SRB
Slovakia,2016,0,19.699024,48.669026,SVK
Slovenia,2016,405,14.995463,46.151241,SVN
South Korea,2016,5,127.766922,35.907757,KOR
Spain,2016,53,-3.74922,40.463667,ESP
Sweden,2016,2144,18.643501,60.128161,SWE
Switzerland,2016,3183,8.227512,46.818188,CHE
Turkey,2016,34669,35.243322,38.963745,TUR
United Kingdom,2016,3099,-3.435973,55.378051,GBR
United States,2016,285,-95.712891,37.09024,USA
Albania,2017,21,20.168331,41.153332,ALB
Australia,2017,1002,133.775136,-25.274398,AUS
Austria,2017,1546,14.550072,47.516231,AUT
Belgium,2017,420,4.469936,50.503887,BEL
Bosnia and Herzegovina,2017,5,17.679076,43.915886,BIH
Bulgaria,2017,691,25.48583,42.733883,BGR
Canada,2017,250,-106.346771,56.130366,CAN
Croatia,2017,88,15.2,45.1,HRV
Cyprus,2017,0,33.429859,35.126413,CYP
Czech Republic,2017,0,15.472962,49.817492,CZE
Denmark,2017,72,9.501785,56.26392,DNK
Estonia,2017,0,25.013607,58.595272,EST
France,2017,2602,2.213749,46.227638,FRA
Germany,2017,7426,10.451526,51.165691,DEU
Hungary,2017,359,19.503304,47.162494,HUN
Iceland,2017,0,-19.020835,64.963051,ISL
Ireland,2017,11,-8.24389,53.41291,IRL
Italy,2017,384,12.56738,41.87194,ITA
Japan,2017,0,138.252924,36.204824,JPN
Lithuania,2017,5,23.881275,55.169438,LTU
Luxembourg,2017,0,6.129583,49.815273,LUX
Macedonia [FYROM],2017,7,21.745275,41.608635,MKD
Malta,2017,0,14.375416,35.937496,MLT
Montenegro,2017,17,19.37439,42.708678,MNE
Netherlands,2017,162,5.291266,52.132633,NLD
New Zealand,2017,0,174.885971,-40.900557,NZL
Norway,2017,45,8.468946,60.472024,NOR
Poland,2017,5,19.145136,51.919438,POL
Portugal,2017,0,-8.224454,39.399872,PRT
Romania,2017,77,24.96676,45.943161,ROU
Serbia,2017,63,21.005859,44.016521,SRB
Slovakia,2017,11,19.699024,48.669026,SVK
Slovenia,2017,175,14.995463,46.151241,SVN
South Korea,2017,0,127.766922,35.907757,KOR
Spain,2017,43,-3.74922,40.463667,ESP
Sweden,2017,596,18.643501,60.128161,SWE
Switzerland,2017,455,8.227512,46.818188,CHE
Turkey,2017,18872,35.243322,38.963745,TUR
United Kingdom,2017,425,-3.435973,55.378051,GBR
United States,2017,77,-95.712891,37.09024,USA
